# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
KRTAP5-1	KRTAP5-1.2	NM_001005922.1.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
KRTAP5-10	KRTAP5-10	NM_001012710.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KRTAP5-3	KRTAP5-3.3	NM_001012708.2.3	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
KRTAP5-4	KRTAP5-4	NM_001012709.1	protein_coding	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
KRTAP5-4	KRTAP5-4	NM_001347674.1	protein_coding	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
KRTAP5-5	KRTAP5-5	NM_001001480.2	protein_coding	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0
KRTAP5-6	KRTAP5-6	NM_001012416.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KRTAP5-7	KRTAP5-7	NM_001012503.2	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
KRTAP5-8	KRTAP5-8	NM_021046.3	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
KRTAP5-9	KRTAP5-9	NM_005553.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KRTAP5-AS1	KRTAP5-AS1.3	NR_021489.2.3		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP6-2	KRTAP6-2	NM_181604.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KRTAP6-3	KRTAP6-3	NM_181605.4	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
KRTAP7-1	KRTAP7-1	NM_181606.3	protein_coding	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
KRTAP9-1	KRTAP9-1	NM_001190460.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
KRTAP9-2	KRTAP9-2.3	NM_031961.3.3	protein_coding	0	2	3	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0
KRTAP9-3	KRTAP9-3.2	NM_031962.3.2	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KRTAP9-4	KRTAP9-4	NM_033191.3	protein_coding	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0
KRTAP9-6	KRTAP9-6	NM_001277331.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
KRTAP9-7	KRTAP9-7.2	NM_001277332.1.2	protein_coding	1	1	1	51	0	0	0	0	0	0	0	0	0	0	52	1	0	0	1	1	0	0	0	0	0	0	1
KRTAP9-7	KRTAP9-7.4	NM_001277332.1.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KRTAP9-8	KRTAP9-8	NM_031963.3	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
KRTAP9-9	KRTAP9-9.2	NM_001318227.1.2	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
KRTCAP2	KRTCAP2	NM_173852.3	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
KSR1	KSR1	NM_001367810.1	protein_coding	0	11	16	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	11	0
KSR1	KSR1	NM_014238.2	protein_coding	0	11	16	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	11	0
KSR2	KSR2	NM_173598.6	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
KTI12	KTI12	NM_138417.3	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KXD1	KXD1	NM_001171948.1	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
KXD1	KXD1	NM_001171949.1	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
KXD1	KXD1	NM_024069.4	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
KY	KY	NM_001350859.2	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
KY	KY	NM_001350860.2	protein_coding	0	3	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
KY	KY	NM_001366276.1	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
KY	KY	NM_001366277.2	protein_coding	0	3	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
KY	KY	NM_178554.6	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
KYAT3	KYAT3	NM_001008661.3	protein_coding	0	3	0	27	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3	0
KYAT3	KYAT3	NM_001008662.2	protein_coding	0	3	0	27	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3	0
KYAT3	KYAT3	NM_001349447.1	protein_coding	0	3	0	27	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3	0
KYAT3	KYAT3	NM_001349448.1	protein_coding	0	3	0	27	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3	0
KYAT3	KYAT3	NM_001349449.1	protein_coding	0	3	0	27	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3	0
KYAT3	KYAT3	NM_001349450.1	protein_coding	0	3	0	27	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3	0
KYAT3	KYAT3	NR_146183.1		0	0	0	30	0	0	0	0	0	0	0	0	0	0	27	0	3	0	0	0	0	0	0	0	0	0	0
KYAT3	KYAT3	NR_146184.1		0	0	0	30	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
KYAT3	KYAT3	NR_146185.1		0	0	0	30	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
L1TD1	L1TD1	NM_001164835.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
L1TD1	L1TD1	NM_019079.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
L2HGDH	L2HGDH	NM_024884.3	protein_coding	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0
L3MBTL1	L3MBTL1	NM_015478.7	protein_coding	0	13	17	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	13	0
L3MBTL1	L3MBTL1	NM_032107.5	protein_coding	0	13	17	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	13	0
L3MBTL2	L3MBTL2	NM_031488.5	protein_coding	0	7	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0
L3MBTL2-AS1	L3MBTL2-AS1	NR_148200.1		0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1
L3MBTL3	L3MBTL3	NM_001007102.4	protein_coding	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0
L3MBTL3	L3MBTL3	NM_001346550.1	protein_coding	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0
L3MBTL3	L3MBTL3	NM_001346551.1	protein_coding	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0
L3MBTL3	L3MBTL3	NM_032438.4	protein_coding	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0
L3MBTL4	L3MBTL4	NM_001330559.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
L3MBTL4	L3MBTL4	NM_001365765.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
L3MBTL4	L3MBTL4	NM_001365768.1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3MBTL4	L3MBTL4	NM_001365769.1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3MBTL4	L3MBTL4	NM_001365770.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
L3MBTL4	L3MBTL4	NM_173464.3	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
L3MBTL4	L3MBTL4	NR_158609.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
L3MBTL4	L3MBTL4	NR_158610.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
L3MBTL4	L3MBTL4	NR_158611.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LACTB	LACTB	NM_001288585.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LACTB	LACTB	NM_032857.5	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LACTB	LACTB	NM_171846.4	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LACTB2	LACTB2	NM_016027.3	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
LACTB2-AS1	LACTB2-AS1	NR_038881.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LAD1	LAD1	NM_005558.4	protein_coding	0	5	18	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	5	0
LAG3	LAG3	NM_002286.6	protein_coding	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6
LAIR1	LAIR1.4	NM_001289023.3.3	protein_coding	0	0	22	6	0	0	0	0	0	0	0	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	0
LAIR1	LAIR1.4	NM_001289025.3.2	protein_coding	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
LAIR1	LAIR1.4	NM_001289026.2.3	protein_coding	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
LAIR1	LAIR1.4	NM_001289027.2	protein_coding	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
LAIR1	LAIR1.4	NM_002287.6.2	protein_coding	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
LAIR1	LAIR1.4	NM_021706.5.4	protein_coding	0	0	22	6	0	0	0	0	0	0	0	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	0
LAIR1	LAIR1.4	NR_110279.3.5		0	7	0	21	0	0	0	0	0	0	0	0	0	0	14	0	14	0	0	7	0	0	0	0	0	0	0
LAIR1	LAIR1.4	NR_110280.3.2		0	7	0	21	0	0	0	0	0	0	0	0	0	0	14	0	14	0	0	7	0	0	0	0	0	0	0
LAIR2	LAIR2	NM_002288.6	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LAIR2	LAIR2	NM_021270.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LAMA1	LAMA1	NM_005559.4	protein_coding	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0
LAMA2	LAMA2	NM_000426.3	protein_coding	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	15	0
LAMA2	LAMA2	NM_001079823.2	protein_coding	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	15	0
LAMA3	LAMA3	NM_001127717.3	protein_coding	0	8	3	2	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	8	0
LAMA3	LAMA3	NM_001127718.3	protein_coding	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
LAMA3	LAMA3	NM_198129.3	protein_coding	0	8	3	2	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	8	0
LAMA3	LAMA3.2	NM_000227.5	protein_coding	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
LAMA4	LAMA4	NM_001105206.3	protein_coding	0	10	9	1	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	10	0
LAMA4	LAMA4	NM_001105207.3	protein_coding	0	10	9	1	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	10	0
LAMA4	LAMA4	NM_002290.5	protein_coding	0	10	9	1	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	10	0
LAMA5	LAMA5	NM_005560.6	protein_coding	0	12	18	14	0	0	0	0	0	0	0	14	0	0	0	18	0	0	0	0	0	0	0	0	0	12	0
LAMA5-AS1	LAMA5-AS1	NR_109922.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LAMA5-AS1	LAMA5-AS1	NR_109923.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LAMA5-AS1	LAMA5-AS1	NR_109924.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LAMB1	LAMB1	NM_002291.3	protein_coding	0	44	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	44	0
LAMB2	LAMB2	NM_002292.4	protein_coding	0	2	2	12	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
LAMB3	LAMB3	NM_000228.3	protein_coding	0	17	6	3	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	17	0
LAMB3	LAMB3	NM_001017402.1	protein_coding	0	17	6	3	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	17	0
LAMB3	LAMB3	NM_001127641.1	protein_coding	0	17	6	3	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	17	0
LAMC1	LAMC1	NM_002293.4	protein_coding	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0
LAMC1-AS1	LAMC1-AS1	NR_149048.1		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMC3	LAMC3	NM_006059.4	protein_coding	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	6	0
LAMP1	LAMP1	NM_005561.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LAMP2	LAMP2	NM_001122606.1	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
LAMP2	LAMP2	NM_002294.3	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
LAMP2	LAMP2	NM_013995.2	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
LAMP3	LAMP3	NM_014398.4	protein_coding	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	8	0
LAMTOR2	LAMTOR2	NM_001145264.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
LAMTOR2	LAMTOR2	NM_014017.4	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
LAMTOR4	LAMTOR4	NM_001008395.4	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
LAMTOR4	LAMTOR4	NM_001318236.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
LAMTOR4	LAMTOR4	NM_001318237.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
LAMTOR4	LAMTOR4	NR_134526.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LAMTOR4	LAMTOR4	NR_134527.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LAMTOR4	LAMTOR4	NR_134528.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LAMTOR4	LAMTOR4	NR_134529.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LAMTOR4	LAMTOR4	NR_134530.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LANCL2	LANCL2	NM_018697.3	protein_coding	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
LAP3	LAP3	NM_015907.2	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
LAPTM4B	LAPTM4B	NM_018407.6	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
LAPTM5	LAPTM5	NM_006762.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LARGE1	LARGE1	NM_001362949.1	protein_coding	0	43	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	43	0
LARGE1	LARGE1	NM_001362951.1	protein_coding	0	43	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	43	0
LARGE1	LARGE1	NM_001362953.1	protein_coding	0	43	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	43	0
LARGE1	LARGE1	NM_004737.6	protein_coding	0	43	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	43	0
LARGE1	LARGE1	NM_133642.4	protein_coding	0	43	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	43	0
LARGE2	LARGE2	NM_001300721.2	protein_coding	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
LARGE2	LARGE2	NM_001300722.2	protein_coding	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
LARGE2	LARGE2	NM_152312.5	protein_coding	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
LARP1	LARP1	NM_001367713.1	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
LARP1	LARP1	NM_001367714.1	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
LARP1	LARP1	NM_001367715.1	protein_coding	0	0	5	7	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0
LARP1	LARP1	NM_001367716.1	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
LARP1	LARP1	NM_001367717.1	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
LARP1	LARP1	NM_001367718.1	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
LARP1	LARP1	NM_001367719.1	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
LARP1	LARP1	NM_015315.5	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
LARP1	LARP1	NM_033551.3	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
LARP1B	LARP1B	NM_001278604.2	protein_coding	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0
LARP1B	LARP1B	NM_001350531.2	protein_coding	0	18	11	32	0	10	21	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	8	0
LARP1B	LARP1B	NM_018078.4	protein_coding	0	40	11	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	40	0
LARP1B	LARP1B	NM_032239.4	protein_coding	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0
LARP1B	LARP1B	NM_178043.3	protein_coding	0	40	7	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	40	0
LARP1B	LARP1B	NR_146772.2		0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001170803.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001170808.1	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001330415.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352305.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352306.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352307.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352308.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352309.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352310.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352311.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352312.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352313.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352314.1	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352315.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352316.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352317.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352318.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352319.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352320.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LARP4	LARP4	NM_001352321.2	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
